Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.9053758209681344;0.75;0.03759398496240601;0.5181235011018926
PUCC;0.9551081036474666;0.7727272727272727;0.05985915492957746;0.5294966770318883
PUCP;0.9179019384264538;0.8;0.0784313725490196;0.5382787718460276
TecMonterrey;0.9614303959131544;0.8913043478260869;0.0640625;0.5318648052596537
UCNSA;0.6086956521739131;1.0;0.1;0.55
UCV;0.6666666666666666;0.0;0.0;0.5
UM;0.7142857142857143;0.0;0.0;0.5
UNAM;0.951787072243346;0.8636363636363636;0.05705705705705705;0.5282882209348085
UPB;0.5384615384615384;0.0;0.0;0.5
UPCH;0.6930693069306929;0.0;0.0;0.5
USB;0.7283950617283951;0.0;0.0;0.4836065573770492
USFQ;0.7802197802197802;0.0;0.0;0.5
USP;0.9616606910039114;0.9285714285714286;0.020333680917622526;0.5101350405860108
Udelar;0.9587852494577006;0.8333333333333334;0.0364963503649635;0.5180863628847471
Unicamp;0.9400988503277103;0.0;0.0;0.4999714285714286
Universidad Nacional de la Asuncion;0.8482849604221636;0.8333333333333334;0.08130081300813008;0.5390756033544587
Universidad Torcuato Di Tella;0.7894736842105263;0.0;0.0;0.4166666666666667
Universidad de Antioquia;0.8244111349036403;0.8;0.047058823529411764;0.5222205112411458
Universidad de Chile;0.9856538064535432;0.7;0.07676969092721835;0.538134253154515
Universidad de Los Andes;0.9301365512861226;0.8148148148148148;0.09282700421940927;0.5455549856261881
