Universidad;Accuracy;Precision;Reacall;Roc_auc
ESPOL;0.9022135733398199;0.2;0.0025062656641604013;0.5007143397286319
PUCC;0.9519722726522528;0.41025641025641024;0.056338028169014086;0.526177672093165
PUCP;0.9116305587229192;0.4;0.026143790849673203;0.5111980665678721
TecMonterrey;0.9588122605363985;0.14285714285714285;0.0015625;0.5005815163115845
UCNSA;0.6086956521739131;1.0;0.1;0.55
UCV;0.6666666666666666;0.0;0.0;0.5
UM;0.7142857142857143;0.0;0.0;0.5
UNAM;0.9492015209125476;0.42857142857142855;0.009009009009009007;0.5041840943795445
UPB;0.5384615384615384;0.0;0.0;0.5
UPCH;0.6930693069306929;0.0;0.0;0.5
USB;0.7407407407407407;0.0;0.0;0.4918032786885246
USFQ;0.7802197802197802;0.0;0.0;0.5
USP;0.9608661994784876;0.0;0.0;0.4999682001271995
Udelar;0.9573907654167958;0.3333333333333333;0.0036496350364963507;0.5016630052205134
Unicamp;0.9400988503277103;0.0;0.0;0.4999714285714286
Universidad Nacional de la Asuncion;0.8430079155672823;0.8333333333333334;0.04065040650406504;0.5195378016772293
Universidad Torcuato Di Tella;0.7894736842105263;0.0;0.0;0.4166666666666667
Universidad de Antioquia;0.8179871520342612;0.5;0.047058823529411764;0.518293809670465
Universidad de Chile;0.984292488817748;0.3025210084033613;0.03589232303090728;0.51731588388955
Universidad de Los Andes;0.92378532867577;0.4516129032258064;0.059071729957805914;0.5266169089349468
